"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/31/2010,12/31/2010,"12/31/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,116316000,,,,,,,
Madison,DA-MD,Madison,WI,12/31/2010,12/31/2010,"12/31/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,3085000,,,,,,,
Madison,DA-MD,Madison,WI,12/24/2010,12/24/2010,"12/24/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,127080000,,,,,,,
Madison,DA-MD,Madison,WI,12/24/2010,12/24/2010,"12/24/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,3092000,,,,,,,
Madison,DA-MD,Madison,WI,12/17/2010,12/17/2010,"12/17/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,129098000,,,,,,,
Madison,DA-MD,Madison,WI,12/17/2010,12/17/2010,"12/17/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6100000,,,,,,,
Madison,DA-MD,Madison,WI,12/10/2010,12/10/2010,"12/10/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,132390000,,,,,,,
Madison,DA-MD,Madison,WI,12/10/2010,12/10/2010,"12/10/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6523000,,,,,,,
Madison,DA-MD,Madison,WI,12/03/2010,12/03/2010,"12/03/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,132405000,,,,,,,
Madison,DA-MD,Madison,WI,12/03/2010,12/03/2010,"12/03/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6738000,,,,,,,
Madison,DA-MD,Madison,WI,11/26/2010,11/26/2010,"11/26/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,131788000,,,,,,,
Madison,DA-MD,Madison,WI,11/26/2010,11/26/2010,"11/26/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6153000,,,,,,,
Madison,DA-MD,Madison,WI,11/19/2010,11/19/2010,"11/19/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,132398000,,,,,,,
Madison,DA-MD,Madison,WI,11/19/2010,11/19/2010,"11/19/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6870000,,,,,,,
Madison,DA-MD,Madison,WI,11/12/2010,11/12/2010,"11/12/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,133544000,,,,,,,
Madison,DA-MD,Madison,WI,11/12/2010,11/12/2010,"11/12/2010 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,8274000,,,,,,,
Madison,DA-MD,Madison,WI,10/29/2010,10/29/2010,"10/29/2010 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,131995000,,,,,,,
