"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/26/2008,12/26/2008,"12/26/2008 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,100582000,,,,,,,
Madison,DA-MD,Madison,WI,12/26/2008,12/26/2008,"12/26/2008 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,13562000,,,,,,,
Madison,DA-MD,Madison,WI,12/19/2008,12/19/2008,"12/19/2008 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,98733000,,,,,,,
Madison,DA-MD,Madison,WI,12/19/2008,12/19/2008,"12/19/2008 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,13707000,,,,,,,
Madison,DA-MD,Madison,WI,12/12/2008,12/12/2008,"12/12/2008 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,97083000,,,,,,,
Madison,DA-MD,Madison,WI,12/12/2008,12/12/2008,"12/12/2008 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,13877000,,,,,,,
Madison,DA-MD,Madison,WI,12/05/2008,12/05/2008,"12/05/2008 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,89917000,,,,,,,
Madison,DA-MD,Madison,WI,12/05/2008,12/05/2008,"12/05/2008 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,15074000,,,,,,,
Madison,DA-MD,Madison,WI,11/28/2008,11/28/2008,"11/28/2008 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,97897000,,,,,,,
Madison,DA-MD,Madison,WI,11/28/2008,11/28/2008,"11/28/2008 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,15321000,,,,,,,
