"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/25/2015,12/25/2015,"12/25/2015 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,92269000,,,,,,,
Madison,DA-MD,Madison,WI,12/25/2015,12/25/2015,"12/25/2015 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6565000,,,,,,,
Madison,DA-MD,Madison,WI,12/18/2015,12/18/2015,"12/18/2015 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,91370000,,,,,,,
Madison,DA-MD,Madison,WI,12/18/2015,12/18/2015,"12/18/2015 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6602000,,,,,,,
Madison,DA-MD,Madison,WI,12/11/2015,12/11/2015,"12/11/2015 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,93830000,,,,,,,
Madison,DA-MD,Madison,WI,12/11/2015,12/11/2015,"12/11/2015 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6783000,,,,,,,
Madison,DA-MD,Madison,WI,12/04/2015,12/04/2015,"12/04/2015 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,95221000,,,,,,,
Madison,DA-MD,Madison,WI,12/04/2015,12/04/2015,"12/04/2015 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,7909000,,,,,,,
Madison,DA-MD,Madison,WI,11/27/2015,11/27/2015,"11/27/2015 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,94676000,,,,,,,
Madison,DA-MD,Madison,WI,11/27/2015,11/27/2015,"11/27/2015 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,8115000,,,,,,,
Madison,DA-MD,Madison,WI,11/20/2015,11/20/2015,"11/20/2015 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,95571000,,,,,,,
Madison,DA-MD,Madison,WI,11/20/2015,11/20/2015,"11/20/2015 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,9206000,,,,,,,
