"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/30/2005,12/30/2005,"12/30/2005 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,131288000,,,,,,,
Madison,DA-MD,Madison,WI,12/30/2005,12/30/2005,"12/30/2005 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,23271000,,,,,,,
Madison,DA-MD,Madison,WI,12/23/2005,12/23/2005,"12/23/2005 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,129371000,,,,,,,
Madison,DA-MD,Madison,WI,12/23/2005,12/23/2005,"12/23/2005 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,23164000,,,,,,,
Madison,DA-MD,Madison,WI,12/16/2005,12/16/2005,"12/16/2005 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,131315000,,,,,,,
Madison,DA-MD,Madison,WI,12/16/2005,12/16/2005,"12/16/2005 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,24583000,,,,,,,
Madison,DA-MD,Madison,WI,12/09/2005,12/09/2005,"12/09/2005 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,129858000,,,,,,,
Madison,DA-MD,Madison,WI,12/09/2005,12/09/2005,"12/09/2005 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,25801000,,,,,,,
Madison,DA-MD,Madison,WI,12/02/2005,12/02/2005,"12/02/2005 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,130905000,,,,,,,
Madison,DA-MD,Madison,WI,12/02/2005,12/02/2005,"12/02/2005 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,26108000,,,,,,,
