"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/27/2013,12/27/2013,"12/27/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,95337000,,,,,,,
Madison,DA-MD,Madison,WI,12/27/2013,12/27/2013,"12/27/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,7019000,,,,,,,
Madison,DA-MD,Madison,WI,12/20/2013,12/20/2013,"12/20/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,96638000,,,,,,,
Madison,DA-MD,Madison,WI,12/20/2013,12/20/2013,"12/20/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,7136000,,,,,,,
Madison,DA-MD,Madison,WI,12/13/2013,12/13/2013,"12/13/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,101240000,,,,,,,
Madison,DA-MD,Madison,WI,12/13/2013,12/13/2013,"12/13/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,7214000,,,,,,,
Madison,DA-MD,Madison,WI,12/06/2013,12/06/2013,"12/06/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,101325000,,,,,,,
Madison,DA-MD,Madison,WI,12/06/2013,12/06/2013,"12/06/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,7059000,,,,,,,
Madison,DA-MD,Madison,WI,11/29/2013,11/29/2013,"11/29/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,100329000,,,,,,,
Madison,DA-MD,Madison,WI,11/29/2013,11/29/2013,"11/29/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,7825000,,,,,,,
Madison,DA-MD,Madison,WI,11/22/2013,11/22/2013,"11/22/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,102559000,,,,,,,
Madison,DA-MD,Madison,WI,11/22/2013,11/22/2013,"11/22/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,9027000,,,,,,,
Madison,DA-MD,Madison,WI,11/15/2013,11/15/2013,"11/15/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,102927000,,,,,,,
Madison,DA-MD,Madison,WI,11/15/2013,11/15/2013,"11/15/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,10825000,,,,,,,
Madison,DA-MD,Madison,WI,11/08/2013,11/08/2013,"11/08/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,105409000,,,,,,,
Madison,DA-MD,Madison,WI,11/08/2013,11/08/2013,"11/08/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,11854000,,,,,,,
Madison,DA-MD,Madison,WI,11/01/2013,11/01/2013,"11/01/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,108848000,,,,,,,
Madison,DA-MD,Madison,WI,11/01/2013,11/01/2013,"11/01/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,12714000,,,,,,,
Madison,DA-MD,Madison,WI,10/25/2013,10/25/2013,"10/25/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,108430000,,,,,,,
Madison,DA-MD,Madison,WI,10/25/2013,10/25/2013,"10/25/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,12444000,,,,,,,
Madison,DA-MD,Madison,WI,09/27/2013,09/27/2013,"09/27/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,111005000,,,,,,,
Madison,DA-MD,Madison,WI,09/27/2013,09/27/2013,"09/27/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,14688000,,,,,,,
Madison,DA-MD,Madison,WI,09/20/2013,09/20/2013,"09/20/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,107121000,,,,,,,
Madison,DA-MD,Madison,WI,09/20/2013,09/20/2013,"09/20/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,15659000,,,,,,,
Madison,DA-MD,Madison,WI,09/13/2013,09/13/2013,"09/13/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,108613000,,,,,,,
Madison,DA-MD,Madison,WI,09/13/2013,09/13/2013,"09/13/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,15626000,,,,,,,
Madison,DA-MD,Madison,WI,09/06/2013,09/06/2013,"09/06/2013 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,109462000,,,,,,,
Madison,DA-MD,Madison,WI,09/06/2013,09/06/2013,"09/06/2013 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,15823000,,,,,,,
