"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,09/12/2022,09/16/2022,"09/14/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,46924000,51556000,-4632000,-9,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/05/2022,09/09/2022,"09/07/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78073000,78110000,-37000,0,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/05/2022,09/09/2022,"09/07/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,50889000,51556000,-667000,-1,09/01/2022,,,
Madison,DA-MD,Madison,WI,08/29/2022,09/02/2022,"08/31/2022 13:07:11","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78168000,79430000,-1262000,-2,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/29/2022,09/02/2022,"08/31/2022 13:07:11","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,52559000,56430000,-3871000,-7,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/22/2022,08/26/2022,"08/24/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78226000,79430000,-1204000,-2,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/22/2022,08/26/2022,"08/24/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,55350000,56430000,-1080000,-2,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/15/2022,08/19/2022,"08/17/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79767000,79430000,337000,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/15/2022,08/19/2022,"08/17/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,39734000,56430000,-16696000,-30,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/08/2022,08/12/2022,"08/10/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79728000,79430000,298000,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/08/2022,08/12/2022,"08/10/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,55646000,56430000,-784000,-1,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/01/2022,08/05/2022,"08/03/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79431000,79430000,1000,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/01/2022,08/05/2022,"08/03/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,56430000,56430000,0,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,07/25/2022,07/29/2022,"07/27/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,82187000,86183000,-3996000,-5,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/25/2022,07/29/2022,"07/27/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,58902000,62342000,-3440000,-6,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/18/2022,07/22/2022,"07/20/2022 11:55:04","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,83893000,86183000,-2290000,-3,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/18/2022,07/22/2022,"07/20/2022 11:55:04","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,60752000,62342000,-1590000,-3,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/11/2022,07/15/2022,"07/13/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,84993000,86183000,-1190000,-1,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/11/2022,07/15/2022,"07/13/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,65228000,62342000,2886000,5,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/04/2022,07/08/2022,"07/06/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,86488000,86183000,305000,0,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/04/2022,07/08/2022,"07/06/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,62604000,62342000,262000,0,07/01/2022,,,
Madison,DA-MD,Madison,WI,06/27/2022,07/01/2022,"06/29/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,84964000,84330000,634000,1,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/27/2022,07/01/2022,"06/29/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,61294000,63789000,-2495000,-4,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/20/2022,06/24/2022,"06/22/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,84965000,84330000,635000,1,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/20/2022,06/24/2022,"06/22/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,63073000,63789000,-716000,-1,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/13/2022,06/17/2022,"06/15/2022 12:37:40","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,82750000,84330000,-1580000,-2,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/13/2022,06/17/2022,"06/15/2022 12:37:40","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,58639000,63789000,-5150000,-8,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/06/2022,06/10/2022,"06/08/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,83688000,84330000,-642000,-1,06/01/2022,,,
Madison,DA-MD,Madison,WI,06/06/2022,06/10/2022,"06/08/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,63358000,63789000,-431000,-1,06/01/2022,,,
Madison,DA-MD,Madison,WI,05/30/2022,06/03/2022,"06/01/2022 11:55:03","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,84756000,87201000,-2445000,-3,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/30/2022,06/03/2022,"06/01/2022 11:55:03","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,64077000,59586000,4491000,8,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/23/2022,05/27/2022,"05/25/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,85653000,87201000,-1548000,-2,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/23/2022,05/27/2022,"05/25/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,64014000,59586000,4428000,7,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/16/2022,05/20/2022,"05/18/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,85747000,87201000,-1454000,-2,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/16/2022,05/20/2022,"05/18/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,63869000,59586000,4283000,7,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/09/2022,05/13/2022,"05/11/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,84629000,87201000,-2572000,-3,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/09/2022,05/13/2022,"05/11/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,60440000,59586000,854000,1,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/02/2022,05/06/2022,"05/04/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,87201000,87201000,0,0,05/01/2022,,,
Madison,DA-MD,Madison,WI,05/02/2022,05/06/2022,"05/04/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,59587000,59586000,1000,0,05/01/2022,,,
Madison,DA-MD,Madison,WI,04/25/2022,04/29/2022,"04/27/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,87554000,86576000,978000,1,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/25/2022,04/29/2022,"04/27/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,54755000,44101000,10654000,24,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/18/2022,04/22/2022,"04/20/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,88417000,86576000,1841000,2,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/18/2022,04/22/2022,"04/20/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,53118000,44101000,9017000,20,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/11/2022,04/15/2022,"04/13/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,87403000,86576000,827000,1,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/11/2022,04/15/2022,"04/13/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,51424000,44101000,7323000,17,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/04/2022,04/08/2022,"04/06/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,86519000,86576000,-57000,0,04/01/2022,,,
Madison,DA-MD,Madison,WI,04/04/2022,04/08/2022,"04/06/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,43927000,44101000,-174000,0,04/01/2022,,,
Madison,DA-MD,Madison,WI,03/28/2022,04/01/2022,"03/30/2022 13:57:26","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,86812000,89465000,-2653000,-3,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/28/2022,04/01/2022,"03/30/2022 13:57:26","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,44799000,41079000,3720000,9,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/21/2022,03/25/2022,"03/23/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,87881000,89465000,-1584000,-2,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/21/2022,03/25/2022,"03/23/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,46394000,41079000,5315000,13,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/14/2022,03/18/2022,"03/16/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,89730000,89465000,265000,0,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/14/2022,03/18/2022,"03/16/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,46448000,41079000,5369000,13,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/07/2022,03/11/2022,"03/09/2022 14:58:09","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,89786000,89465000,321000,0,03/01/2022,,,
Madison,DA-MD,Madison,WI,03/07/2022,03/11/2022,"03/09/2022 14:58:09","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,43202000,41079000,2123000,5,03/01/2022,,,
Madison,DA-MD,Madison,WI,02/28/2022,03/04/2022,"03/02/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,89384000,91176000,-1792000,-2,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/28/2022,03/04/2022,"03/02/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,40548000,38769000,1779000,5,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/21/2022,02/25/2022,"02/23/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,89915000,91176000,-1261000,-1,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/21/2022,02/25/2022,"02/23/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,37850000,38769000,-919000,-2,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/14/2022,02/18/2022,"02/16/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,91974000,91176000,798000,1,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/14/2022,02/18/2022,"02/16/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,38777000,38769000,8000,0,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/07/2022,02/11/2022,"02/09/2022 12:24:11","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,91767000,91176000,591000,1,02/01/2022,,,
Madison,DA-MD,Madison,WI,02/07/2022,02/11/2022,"02/09/2022 12:24:11","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,39192000,38769000,423000,1,02/01/2022,,,
Madison,DA-MD,Madison,WI,01/31/2022,02/04/2022,"02/02/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,91028000,82899000,8129000,10,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/31/2022,02/04/2022,"02/02/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,38663000,32878000,5785000,18,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/24/2022,01/28/2022,"01/26/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,91898000,82899000,8999000,11,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/24/2022,01/28/2022,"01/26/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,38791000,32878000,5913000,18,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/17/2022,01/21/2022,"01/19/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,92115000,82899000,9216000,11,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/17/2022,01/21/2022,"01/19/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,37051000,32878000,4173000,13,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/10/2022,01/14/2022,"01/12/2022 11:55:04","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,82518000,82899000,-381000,0,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/10/2022,01/14/2022,"01/12/2022 11:55:04","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,36368000,32878000,3490000,11,01/01/2022,,,
Madison,DA-MD,Madison,WI,01/03/2022,01/07/2022,"01/05/2022 09:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,82899000,82899000,0,0,01/01/2022,,,
