"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/28/2012,12/28/2012,"12/28/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,114286000,,,,,,,
Madison,DA-MD,Madison,WI,12/28/2012,12/28/2012,"12/28/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,4730000,,,,,,,
Madison,DA-MD,Madison,WI,12/21/2012,12/21/2012,"12/21/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,113325000,,,,,,,
Madison,DA-MD,Madison,WI,12/21/2012,12/21/2012,"12/21/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,4466000,,,,,,,
Madison,DA-MD,Madison,WI,12/14/2012,12/14/2012,"12/14/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,115584000,,,,,,,
Madison,DA-MD,Madison,WI,12/14/2012,12/14/2012,"12/14/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,4448000,,,,,,,
Madison,DA-MD,Madison,WI,12/07/2012,12/07/2012,"12/07/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,114327000,,,,,,,
Madison,DA-MD,Madison,WI,12/07/2012,12/07/2012,"12/07/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,4771000,,,,,,,
Madison,DA-MD,Madison,WI,11/30/2012,11/30/2012,"11/30/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,112896000,,,,,,,
Madison,DA-MD,Madison,WI,11/30/2012,11/30/2012,"11/30/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,5320000,,,,,,,
Madison,DA-MD,Madison,WI,11/23/2012,11/23/2012,"11/23/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,112451000,,,,,,,
Madison,DA-MD,Madison,WI,11/23/2012,11/23/2012,"11/23/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,6172000,,,,,,,
Madison,DA-MD,Madison,WI,11/16/2012,11/16/2012,"11/16/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,117301000,,,,,,,
Madison,DA-MD,Madison,WI,11/16/2012,11/16/2012,"11/16/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,8606000,,,,,,,
Madison,DA-MD,Madison,WI,11/09/2012,11/09/2012,"11/09/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,120969000,,,,,,,
Madison,DA-MD,Madison,WI,11/09/2012,11/09/2012,"11/09/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,9226000,,,,,,,
Madison,DA-MD,Madison,WI,11/02/2012,11/02/2012,"11/02/2012 00:00:00","Madison Dairy Market",,,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",Edible,LBS,116828000,,,,,,,
Madison,DA-MD,Madison,WI,11/02/2012,11/02/2012,"11/02/2012 00:00:00","Madison Dairy Market",,,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",Edible,LBS,12656000,,,,,,,
