"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,12/23/2019,12/27/2019,"12/26/2019 10:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,77268000,79534000,-2266000,-3,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/23/2019,12/27/2019,"12/26/2019 10:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,47838000,48777000,-939000,-2,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/16/2019,12/20/2019,"12/18/2019 10:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,77915000,79534000,-1619000,-2,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/16/2019,12/20/2019,"12/18/2019 10:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,47913000,48777000,-864000,-2,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/09/2019,12/13/2019,"12/11/2019 10:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79136000,79534000,-398000,-1,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/09/2019,12/13/2019,"12/11/2019 10:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,48150000,48777000,-627000,-1,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/02/2019,12/06/2019,"12/04/2019 10:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79533000,79534000,-1000,0,12/01/2019,,,
Madison,DA-MD,Madison,WI,12/02/2019,12/06/2019,"12/04/2019 10:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,48777000,48777000,0,0,12/01/2019,,,
Madison,DA-MD,Madison,WI,11/25/2019,11/29/2019,"11/26/2019 11:04:25","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79508000,80133000,-625000,-1,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/25/2019,11/29/2019,"11/26/2019 11:04:25","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,49482000,54613000,-5131000,-9,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/18/2019,11/22/2019,"11/20/2019 11:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,77673000,80133000,-2460000,-3,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/18/2019,11/22/2019,"11/20/2019 11:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,49441000,54613000,-5172000,-9,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/11/2019,11/15/2019,"11/13/2019 11:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,76563000,80133000,-3570000,-4,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/11/2019,11/15/2019,"11/13/2019 11:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,51220000,54613000,-3393000,-6,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/04/2019,11/08/2019,"11/06/2019 11:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,80654000,80133000,521000,1,11/01/2019,,,
Madison,DA-MD,Madison,WI,11/04/2019,11/08/2019,"11/06/2019 11:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,54241000,54613000,-372000,-1,11/01/2019,,,
Madison,DA-MD,Madison,WI,10/28/2019,11/01/2019,"10/30/2019 11:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78047000,82484000,-4437000,-5,10/01/2019,,,
Madison,DA-MD,Madison,WI,10/28/2019,11/01/2019,"10/30/2019 11:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,56103000,42613000,13490000,32,10/01/2019,,,
Madison,DA-MD,Madison,WI,10/21/2019,10/25/2019,"10/23/2019 11:55:00","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,80591000,82484000,-1893000,-2,10/01/2019,,,
Madison,DA-MD,Madison,WI,10/21/2019,10/25/2019,"10/23/2019 11:55:00","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,57826000,42613000,15213000,36,10/01/2019,,,
